NAME_1,NAME_2,Province,LGU,Class,Overall_Score,Population,Revenue,Provincial_Score,,Economic,Government,Infrastructure,Resiliency,Innovation
Romblon,Alcantara,Romblon,Alcantara,Fifth Class Municipality,31.6508,"16,351","5,246,715.10",1.0508,,3.3268,8.8337,3.9864,11.4873,4.0166
Romblon,Banton,Romblon,Banton,Fifth Class Municipality,28.1007,"5,536","2,229,708.76",0.3288,,3.4497,6.837,2.3524,11.2948,4.1668
Romblon,Cajidiocan,Romblon,Cajidiocan,Fourth Class Municipality,21.5279,"23,759","5,156,038.65",0.9774,,4.2155,4.8221,2.4833,9.0979,0.9091
Romblon,Calatrava,Romblon,Calatrava,Fifth Class Municipality,31.486,"11,342","3,128,291.64",0.7084,,4.2614,8.7637,3.2232,10.8002,4.4375
Romblon,Concepcion,Romblon,Concepcion,Sixth Class Municipality,5.9286,"4,037","1,908,733.55",0.0528,,0.4861,3.2614,0.3406,1.0071,0.8334
Romblon,Corcuera,Romblon,Corcuera,Fifth Class Municipality,23.2319,"10,283","92,401,060.11",2.8389,,1.2301,5.4359,3.3355,11.3137,1.9167
Romblon,Ferrol,Romblon,Ferrol,Sixth Class Municipality,25.5518,"6,964","84,570,749.42",2.7545,,2.9295,6.2948,3.9715,8.356,4
Romblon,Looc,Romblon,Looc,Fourth Class Municipality,31.2444,"21,799","13,962,734.05",1.631,,4.6018,10.8582,6.1716,12.1345,8.2833
Romblon,Magdiwang,Romblon,Magdiwang,Fifth Class Municipality,26.2862,"15,385","1,805,696.93",0.7281,,4.7697,5.8455,3.9672,11.5195,0.1843
Romblon,Odiongan,Romblon,Odiongan,Second Class Municipality,38.3096,"45,367","50,718,013.85",5.099,,5.0664,11.3204,3.1783,11.4584,7.2733
Romblon,Romblon,Romblon,Romblon,Third Class Municipality,28.8703,"40,554","22,847,985.28",2.6965,,4.278,6.7752,3.1007,11.4969,3.2195
Romblon,SanAgustin,Romblon,San Agustin,Fourth Class Municipality,30.7601,"24,115","14,326,150.13",1.7349,,3.9678,7.9398,2.9092,11.4614,4.4819
Romblon,SanAndres,Romblon,San Andres,Fifth Class Municipality,28.9009,"15,940","3,654,269.63",0.8873,,4.4819,5.9239,3.8881,11.6626,2.9444
Romblon,SanFernando,Romblon,San Fernando,Fourth Class Municipality,32.0945,"23,271","7,370,000.00",1.5117,,4.0186,8.3169,2.4584,14.0004,3.3002
Romblon,SanJose,Romblon,San Jose,Fifth Class Municipality,31.2101,"10,881","4,924,251.53",0.7397,,3.7125,9.021,2.2419,11.3685,4.8662
Romblon,SantaFe,Romblon,Santa Fe,Fifth Class Municipality,26.5857,"16,098","122,530,926.41",4.4159,,2.5667,6.3884,3.6071,10.3972,3.6263
Romblon,SantaMaria,Romblon,Santa Maria,Fifth Class Municipality,28.7494,"8,989","2,935,480.00",0.5232,,3.4865,6.6471,4.8521,10.5992,3.1645
