NAME_1,NAME_2,Province,LGU,Class,Overall_Score,Population,Revenue,Provincial_Score,,Economic,Government,Infrastructure,Resiliency,Innovation
Palawan,Aborlan,Palawan,Aborlan,First Class Municipality,29.7509,"35,091","432,614,196.79",2.3949,,2.6335,8.4853,2.3571,11.0596,5.2151
Palawan,Agutaya,Palawan,Agutaya,Fifth Class Municipality,22.6547,"12,545","3,690,379.50",0.179,,2.9016,4.9423,2.4968,10.8043,1.5097
Palawan,Araceli,Palawan,Araceli,Fourth Class Municipality,22.6185,"14,909",0,0.199,,2.5919,5.9765,2.0333,10.3066,1.7102
Palawan,Balabac,Palawan,Balabac,Second Class Municipality,22.0176,"40,142","4,014,749.00",0.5328,,1.6534,6.1963,1.2777,11.2124,1.6768
Palawan,Bataraza,Palawan,Bataraza,First Class Municipality,31.4311,"75,468","94,650,000.00",1.8073,,2.7671,8.676,2.7907,11.4431,5.7467
Palawan,Brooke'sPoint,Palawan,Brooke's Point,First Class Municipality,30.5,"66,374","76,906,221.79",1.5128,,4.7761,7.6364,3.1459,11.2801,3.6554
Palawan,Busuanga,Palawan,Busuanga,Third Class Municipality,28.0397,"22,046","13,509,642.46",0.4178,,3.6265,5.7831,2.7722,11.3723,4.4856
Palawan,Cagayancillo,Palawan,Cagayancillo,Sixth Class Municipality,25.306,"7,242","82,636,416.27",0.3973,,1.2833,7.098,2.2252,10.8661,3.8334
Palawan,Coron,Palawan,Coron,First Class Municipality,31.7745,"51,803","486,360,846.89",3.1075,,3.9746,9.4494,3.2162,11.3731,3.7567
Palawan,Culion,Palawan,Culion,Third Class Municipality,29.9214,"20,139","4,561,185.55",0.371,,3.5499,8.1872,2.6778,11.4188,4.0877
Palawan,Cuyo,Palawan,Cuyo,Fourth Class Municipality,23.2488,"22,360","158,566,925.17",0.816,,3.0927,4.805,2.7272,10.8588,1.7651
Palawan,Dumaran,Palawan,Dumaran,Third Class Municipality,24.5803,"23,734","13,117,619.49",0.3884,,2.9936,6.8055,1.4017,10.6503,2.7292
Palawan,ElNido,Palawan,El Nido,First Class Municipality,31.9347,"41,606","132,460,227.34",1.3668,,2.5855,9.7925,3.4277,11.4779,4.6404
Palawan,Linapacan,Palawan,Linapacan,Fifth Class Municipality,17.9033,"15,668","5,603,695.87",0.179,,0.5967,3.042,1.8753,10.6393,1.75
Palawan,Magsaysay,Palawan,Magsaysay,Fifth Class Municipality,22.5371,"12,196","3,596,530.04",0.1735,,2.3941,5.0369,4.1409,8.9652,2
Palawan,Narra,Palawan,Narra,First Class Municipality,28.6266,"73,212","492,415,894.59",3.1833,,3.627,8.3179,2.3595,10.4872,3.8291
Palawan,PuertoPrincesaCity,Palawan,Puerto Princesa City,Component City,39.2839,"307,079","1,835,385,889.28",3.754,,4.6238,10.2688,7.3092,12.2507,7.2067
Palawan,Quezon,Palawan,Quezon,First Class Municipality,49.1334,"60,980","519,129,677.91",1.733,,4.007,9.3636,2.3816,11.2878,5.0855
Palawan,Rizal,Palawan,Rizal,First Class Municipality,24.1779,"50,096","24,420,281.20",0.7955,,2.4131,5.506,2.2665,10.9424,3.045
Palawan,Roxas,Palawan,Roxas,First Class Municipality,30.4666,"65,358",0,1.1699,,2.5969,9.2491,2.8425,11.2904,4.4687
Palawan,SanVicente,Palawan,San Vicente,First Class Municipality,27.1035,"31,232","16,447,090.40",0.561,,2.5972,6.2985,2.7951,11.3903,4.0201
Palawan,SofronioEspanola,Palawan,Sofronio Espanola,Second Class Municipality,22.1184,"32,876","350,177,140.98",1.4996,,2.5804,7.8133,2.1867,9.2662,0.2718
Palawan,Taytay,Palawan,Taytay,First Class Municipality,29.8793,"75,165","696,181,670.16",4.201,,2.6436,8.843,3.0937,10.277,5.0201
